tutorial_id,tutorial_title,file,track,rank,domain,root,spec_path,difficulty,score,confidence,evidence_terms,source_line
bone-tumors-osteosarcoma-chondrosarcoma,"Bone Tumors (Osteosarcoma, Chondrosarcoma)",src/content/tutorials/tutorials.normalized.json,Surgical Pathology,1,AP,Bone and Soft Tissue,"Soft Tissue, Bones, and Joints > Soft Tissue",C,1.8049,high,soft; tissue; bone,3776
bone-tumors-osteosarcoma-chondrosarcoma,"Bone Tumors (Osteosarcoma, Chondrosarcoma)",src/content/tutorials/tutorials.normalized.json,Surgical Pathology,2,AP,Bone and Soft Tissue,"Soft Tissue, Bones, and Joints > Bones",C,1.7449,high,bone; soft; tissue,3907
bone-tumors-osteosarcoma-chondrosarcoma,"Bone Tumors (Osteosarcoma, Chondrosarcoma)",src/content/tutorials/tutorials.normalized.json,Surgical Pathology,3,AP,Bone and Soft Tissue,"Soft Tissue, Bones, and Joints > Joints > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Osteosarcoma",C,1.5472,high,osteosarcoma; soft; tissue; bone,3956
bone-tumors-osteosarcoma-chondrosarcoma,"Bone Tumors (Osteosarcoma, Chondrosarcoma)",src/content/tutorials/tutorials.normalized.json,Surgical Pathology,4,AP,Bone and Soft Tissue,"Soft Tissue, Bones, and Joints > Joints > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Chondrosarcoma",C,1.5461,high,chondrosarcoma; soft; tissue; bone,3957
bone-tumors-osteosarcoma-chondrosarcoma,"Bone Tumors (Osteosarcoma, Chondrosarcoma)",src/content/tutorials/tutorials.normalized.json,Surgical Pathology,5,AP,Bone and Soft Tissue,"Soft Tissue, Bones, and Joints > Joints",C,1.4949,high,soft; tissue; bone,3913
bone-tumors-osteosarcoma-chondrosarcoma,"Bone Tumors (Osteosarcoma, Chondrosarcoma)",src/content/tutorials/tutorials.normalized.json,Surgical Pathology,6,AP,Bone and Soft Tissue,"Soft Tissue, Bones, and Joints > Soft Tissue > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Malignant cartilaginous soft tissue tumors",AR,1.3366,high,malignant; cartilaginou; soft; tissue; bone,3809
ap-breast,AP: Breast,src/content/tutorials/tutorials.normalized.json,Surgical Pathology,1,AP,Breast,Breast > Normal Anatomy and Histology > Diabetic mastopathy > Ductal carcinoma in situ (DCIS),C,1.7423,high,ductal; carcinoma; situ; dci; breast,346
ap-breast,AP: Breast,src/content/tutorials/tutorials.normalized.json,Surgical Pathology,2,AP,Breast,Breast > Lung Primary > Carcinoma,F,1.6481,high,carcinoma; breast,5025
ap-breast,AP: Breast,src/content/tutorials/tutorials.normalized.json,Surgical Pathology,3,AP,Breast,Breast > Lung Primary > Lung FNA > Epithelial,AR,1.582,high,epithelial; breast,4999
ap-breast,AP: Breast,src/content/tutorials/tutorials.normalized.json,Surgical Pathology,4,AP,Breast,Breast > Normal Cytology > Pregnancy and Lactational Changes > Ductal Carcinoma,F,1.5779,high,ductal; carcinoma; breast,5739
ap-breast,AP: Breast,src/content/tutorials/tutorials.normalized.json,Surgical Pathology,5,AP,Breast,Breast > Lung Primary > Small Cell Carcinoma,AR,1.5267,high,small; cell; carcinoma; breast,5004
ap-breast,AP: Breast,src/content/tutorials/tutorials.normalized.json,Surgical Pathology,6,AP,Breast,Breast > Lung Primary > Fibrolamellar Carcinoma > Carcinoma,AR,1.485,high,carcinoma; breast,5191
inflammatory-reactive-fat-necrosis-mastitis,"Inflammatory/Reactive (Fat Necrosis, Mastitis)",src/content/tutorials/tutorials.normalized.json,Surgical Pathology,1,AP,Breast,"Breast > Normal Anatomy and Histology > Physiologic Changes, Metabolic Conditions & Trauma/Infarct > Fat necrosis",C,1.6706,high,fat; necrosi; breast; condition; trauma,317
inflammatory-reactive-fat-necrosis-mastitis,"Inflammatory/Reactive (Fat Necrosis, Mastitis)",src/content/tutorials/tutorials.normalized.json,Surgical Pathology,2,AP,Breast,"Breast > Normal Anatomy and Histology > Physiologic Changes, Metabolic Conditions & Trauma/Infarct > Granulomatous mastitis",AR,1.6591,high,granulomatou; mastiti; breast; condition; trauma,319
inflammatory-reactive-fat-necrosis-mastitis,"Inflammatory/Reactive (Fat Necrosis, Mastitis)",src/content/tutorials/tutorials.normalized.json,Surgical Pathology,3,AP,Breast,Breast > Normal Cytology > Pregnancy and Lactational Changes > Fat Necrosis,F,1.6268,high,fat; necrosi; breast,5731
inflammatory-reactive-fat-necrosis-mastitis,"Inflammatory/Reactive (Fat Necrosis, Mastitis)",src/content/tutorials/tutorials.normalized.json,Surgical Pathology,4,AP,Breast,Breast > Normal Cytology > Pregnancy and Lactational Changes > Fat Necrosis,F,1.6268,high,fat; necrosi; breast,6017
inflammatory-reactive-fat-necrosis-mastitis,"Inflammatory/Reactive (Fat Necrosis, Mastitis)",src/content/tutorials/tutorials.normalized.json,Surgical Pathology,5,AP,Breast,Breast > Normal Cytology > Pregnancy and Lactational Changes > Fat Necrosis > Granulomatous Inflammation,F,1.5165,high,granulomatou; inflammation; breast; fat; necrosi,5732
inflammatory-reactive-fat-necrosis-mastitis,"Inflammatory/Reactive (Fat Necrosis, Mastitis)",src/content/tutorials/tutorials.normalized.json,Surgical Pathology,6,AP,Breast,Breast > Lung Primary > Squamous Cell Carcinoma,AR,1.4968,high,squamou; cell; carcinoma; breast,5002
benign-neoplasms-fibroadenoma-papilloma,"Benign Neoplasms (Fibroadenoma, Papilloma)",src/content/tutorials/tutorials.normalized.json,Surgical Pathology,1,AP,Breast,Breast > Normal Cytology > Pregnancy and Lactational Changes > Benign Neoplasms,F,1.2061,high,benign; neoplasm; breast; pregnancy; change,5895
benign-neoplasms-fibroadenoma-papilloma,"Benign Neoplasms (Fibroadenoma, Papilloma)",src/content/tutorials/tutorials.normalized.json,Surgical Pathology,2,AP,Breast,Breast > Normal Cytology > Pregnancy and Lactational Changes > Benign Neoplasms,F,1.2061,high,benign; neoplasm; breast; pregnancy; change,6028
benign-neoplasms-fibroadenoma-papilloma,"Benign Neoplasms (Fibroadenoma, Papilloma)",src/content/tutorials/tutorials.normalized.json,Surgical Pathology,3,AP,Breast,Breast > Normal Cytology > Pregnancy and Lactational Changes > Papillary Lesions,F,1.187,high,papillary; lesion; breast; pregnancy; change,5742
benign-neoplasms-fibroadenoma-papilloma,"Benign Neoplasms (Fibroadenoma, Papilloma)",src/content/tutorials/tutorials.normalized.json,Surgical Pathology,4,AP,Breast,Breast > Normal Cytology > Pregnancy and Lactational Changes > Fibroadenomas,F,1.1725,high,fibroadenoma; breast; pregnancy; change,5736
benign-neoplasms-fibroadenoma-papilloma,"Benign Neoplasms (Fibroadenoma, Papilloma)",src/content/tutorials/tutorials.normalized.json,Surgical Pathology,5,AP,Breast,Breast > Lung Primary > Intraductal Papillary Mucinous Neoplasm (IPMN) > Malignant Neoplasms,F,1.0986,high,malignant; neoplasm; breast; intraductal; papillary,5311
benign-neoplasms-fibroadenoma-papilloma,"Benign Neoplasms (Fibroadenoma, Papilloma)",src/content/tutorials/tutorials.normalized.json,Surgical Pathology,6,AP,Breast,Breast > Normal Cytology > Pregnancy and Lactational Changes > Carcinomas,AR,1.0981,high,carcinoma; breast; pregnancy; change,5840
proliferative-lesions-udh-adh-alh,"Proliferative Lesions (UDH, ADH, ALH)",src/content/tutorials/tutorials.normalized.json,Surgical Pathology,1,AP,Breast,Breast > Normal Anatomy and Histology > Diabetic mastopathy > Lobular carcinoma in situ (LCIS),C,1.6241,high,lobular; carcinoma; situ; lci; breast,418
proliferative-lesions-udh-adh-alh,"Proliferative Lesions (UDH, ADH, ALH)",src/content/tutorials/tutorials.normalized.json,Surgical Pathology,2,AP,Breast,Breast > Normal Anatomy and Histology > Diabetic mastopathy > Ductal carcinoma in situ (DCIS),C,1.6223,high,ductal; carcinoma; situ; dci; breast,346
proliferative-lesions-udh-adh-alh,"Proliferative Lesions (UDH, ADH, ALH)",src/content/tutorials/tutorials.normalized.json,Surgical Pathology,3,AP,Breast,Breast > Normal Anatomy and Histology > Diabetic mastopathy > Usual ductal hyperplasia,C,1.6135,high,usual; ductal; hyperplasia; breast,330
proliferative-lesions-udh-adh-alh,"Proliferative Lesions (UDH, ADH, ALH)",src/content/tutorials/tutorials.normalized.json,Surgical Pathology,4,AP,Breast,Breast > Normal Anatomy and Histology > Diabetic mastopathy > Atypical lobular hyperplasia,AR,1.5796,high,atypical; lobular; hyperplasia; breast,421
proliferative-lesions-udh-adh-alh,"Proliferative Lesions (UDH, ADH, ALH)",src/content/tutorials/tutorials.normalized.json,Surgical Pathology,5,AP,Breast,Breast > Normal Anatomy and Histology > Diabetic mastopathy > Atypical ductal hyperplasia,AR,1.5767,high,atypical; ductal; hyperplasia; breast,420
proliferative-lesions-udh-adh-alh,"Proliferative Lesions (UDH, ADH, ALH)",src/content/tutorials/tutorials.normalized.json,Surgical Pathology,6,AP,Breast,Breast > Normal Cytology > Pregnancy and Lactational Changes > Lobular Carcinoma,F,1.5592,high,lobular; carcinoma; breast; change,5740
in-situ-carcinoma-dcis-lcis,"In Situ Carcinoma (DCIS, LCIS)",src/content/tutorials/tutorials.normalized.json,Surgical Pathology,1,AP,Breast,Breast > Normal Anatomy and Histology > Diabetic mastopathy > Lobular carcinoma in situ (LCIS),C,1.8191,high,lobular; carcinoma; situ; lci; breast,418
in-situ-carcinoma-dcis-lcis,"In Situ Carcinoma (DCIS, LCIS)",src/content/tutorials/tutorials.normalized.json,Surgical Pathology,2,AP,Breast,Breast > Normal Anatomy and Histology > Diabetic mastopathy > Ductal carcinoma in situ (DCIS),C,1.8173,high,ductal; carcinoma; situ; dci; breast,346
in-situ-carcinoma-dcis-lcis,"In Situ Carcinoma (DCIS, LCIS)",src/content/tutorials/tutorials.normalized.json,Surgical Pathology,3,AP,Breast,Breast > Lung Primary > Carcinoma,F,1.6481,high,carcinoma; breast,5025
in-situ-carcinoma-dcis-lcis,"In Situ Carcinoma (DCIS, LCIS)",src/content/tutorials/tutorials.normalized.json,Surgical Pathology,4,AP,Breast,Breast > Normal Cytology > Pregnancy and Lactational Changes > Lobular Carcinoma,F,1.6068,high,lobular; carcinoma; breast,5740
in-situ-carcinoma-dcis-lcis,"In Situ Carcinoma (DCIS, LCIS)",src/content/tutorials/tutorials.normalized.json,Surgical Pathology,5,AP,Breast,Breast > Normal Cytology > Pregnancy and Lactational Changes > Ductal Carcinoma,F,1.6029,high,ductal; carcinoma; breast,5739
in-situ-carcinoma-dcis-lcis,"In Situ Carcinoma (DCIS, LCIS)",src/content/tutorials/tutorials.normalized.json,Surgical Pathology,6,AP,Breast,Breast > Lung Primary > Lung FNA > Epithelial,AR,1.557,high,epithelial; breast,4999
