cardId,sourceQueueId,title,category,endocrineOrganFocus,taxonomyRisk,learnerLevel,apSpecPath,sourceLine,specimenContext,normalComparatorPrompt,visualAnchorPlan,mimicDiscriminatorPrompt,reportingConsequencePrompt,keepOrReassignDecision,correctApDomainIfReassigned,taxonomyQa,definition,normalComparator,morphologyAnchor,topMimic,discriminator,ancillaryOrReportingConsequence,safetyPitfall,visualAssetPathOrRationale,sourceCitation,retrievalAnswerKey,reviewer,reviewDate,decision,taxonomyQaGateStatus,taxonomyQaGateEvidence,contentAuthoringGateStatus,contentAuthoringGateEvidence,visualAnchorGateStatus,visualAnchorGateEvidence,retrievalKeyGateStatus,retrievalKeyGateEvidence,facultyReviewGateStatus,facultyReviewGateEvidence
"p0-endo-batch-2-card-01-29ccdc24-a32b-4bb5-817e-380c55115fb1","ap_endo-29ccdc24-a32b-4bb5-817e-380c55115fb1","Non-Immune (e.g., Thermal Injury)","Endocrine","taxonomy-review endocrine remainder row","high taxonomy risk; this row is currently mapped to endocrine but its title/path may indicate skin, hematology, fluid, immune, infectious, or systemic content","PGY1-PGY2","The Endocrine System > The Skin and Nails > Non-Immune (e.g., Thermal Injury)","11941","endocrine or endocrine-adjacent specimen only after faculty taxonomy QA confirms the row belongs here; otherwise document the correct AP domain and remove from endocrine learner view","faculty-selected normal endocrine comparator, or a taxonomy-correction note explaining why an endocrine comparator is inappropriate","taxonomy QA image plan: attach endocrine normal-to-abnormal anchor only after confirmed placement, or document no-image/reassignment rationale","faculty must identify the closest endocrine mimic, systemic mimic, or correct-domain reassignment before content authoring","do not add learner-facing reporting language until taxonomy QA determines whether this is endocrine, endocrine-adjacent, or misclassified AP-spec content","","","","","","","","","","","","","","","","draft","ready-for-review","Unused ap_endo P0 row at source line 11941; high taxonomy risk; this row is currently mapped to endocrine but its title/path may indicate skin, hematology, fluid, immune, infectious, or systemic content","missing","Needs source-backed definition/scope, normal comparator or taxonomy correction, morphology, mimic discriminator, pitfall, and learner-safe consequence.","missing","taxonomy QA image plan: attach endocrine normal-to-abnormal anchor only after confirmed placement, or document no-image/reassignment rationale","missing","Remainder-batch retrieval prompts are scaffolded; faculty-reviewed answers and spaced-repeat reveal text are not yet attached.","missing","Endocrine faculty/taxonomy reviewer, source citation, image/license or reassignment status, editorial decision, and review date are not yet attached."
"p0-endo-batch-2-card-02-f073ec35-2001-4493-a5e3-f77cf39cb9b3","ap_endo-f073ec35-2001-4493-a5e3-f77cf39cb9b3","Hb S and Related Disorders","Endocrine","taxonomy-review endocrine remainder row","high taxonomy risk; this row is currently mapped to endocrine but its title/path may indicate skin, hematology, fluid, immune, infectious, or systemic content","PGY1-PGY2","The Endocrine System > The Skin and Nails > Hb S and Related Disorders","12021","endocrine or endocrine-adjacent specimen only after faculty taxonomy QA confirms the row belongs here; otherwise document the correct AP domain and remove from endocrine learner view","faculty-selected normal endocrine comparator, or a taxonomy-correction note explaining why an endocrine comparator is inappropriate","taxonomy QA image plan: attach endocrine normal-to-abnormal anchor only after confirmed placement, or document no-image/reassignment rationale","faculty must identify the closest endocrine mimic, systemic mimic, or correct-domain reassignment before content authoring","do not add learner-facing reporting language until taxonomy QA determines whether this is endocrine, endocrine-adjacent, or misclassified AP-spec content","","","","","","","","","","","","","","","","draft","ready-for-review","Unused ap_endo P0 row at source line 12021; high taxonomy risk; this row is currently mapped to endocrine but its title/path may indicate skin, hematology, fluid, immune, infectious, or systemic content","missing","Needs source-backed definition/scope, normal comparator or taxonomy correction, morphology, mimic discriminator, pitfall, and learner-safe consequence.","missing","taxonomy QA image plan: attach endocrine normal-to-abnormal anchor only after confirmed placement, or document no-image/reassignment rationale","missing","Remainder-batch retrieval prompts are scaffolded; faculty-reviewed answers and spaced-repeat reveal text are not yet attached.","missing","Endocrine faculty/taxonomy reviewer, source citation, image/license or reassignment status, editorial decision, and review date are not yet attached."
"p0-endo-batch-2-card-03-4b3ce1a2-7423-4c0c-ace2-f529bb549a96","ap_endo-4b3ce1a2-7423-4c0c-ace2-f529bb549a96","Lead Poisoning","Endocrine","taxonomy-review endocrine remainder row","high taxonomy risk; this row is currently mapped to endocrine but its title/path may indicate skin, hematology, fluid, immune, infectious, or systemic content","PGY1-PGY2","The Endocrine System > The Skin and Nails > Lead Poisoning","12033","endocrine or endocrine-adjacent specimen only after faculty taxonomy QA confirms the row belongs here; otherwise document the correct AP domain and remove from endocrine learner view","faculty-selected normal endocrine comparator, or a taxonomy-correction note explaining why an endocrine comparator is inappropriate","taxonomy QA image plan: attach endocrine normal-to-abnormal anchor only after confirmed placement, or document no-image/reassignment rationale","faculty must identify the closest endocrine mimic, systemic mimic, or correct-domain reassignment before content authoring","do not add learner-facing reporting language until taxonomy QA determines whether this is endocrine, endocrine-adjacent, or misclassified AP-spec content","","","","","","","","","","","","","","","","draft","ready-for-review","Unused ap_endo P0 row at source line 12033; high taxonomy risk; this row is currently mapped to endocrine but its title/path may indicate skin, hematology, fluid, immune, infectious, or systemic content","missing","Needs source-backed definition/scope, normal comparator or taxonomy correction, morphology, mimic discriminator, pitfall, and learner-safe consequence.","missing","taxonomy QA image plan: attach endocrine normal-to-abnormal anchor only after confirmed placement, or document no-image/reassignment rationale","missing","Remainder-batch retrieval prompts are scaffolded; faculty-reviewed answers and spaced-repeat reveal text are not yet attached.","missing","Endocrine faculty/taxonomy reviewer, source citation, image/license or reassignment status, editorial decision, and review date are not yet attached."
"p0-endo-batch-2-card-04-acb6750e-f5f9-4671-996f-a198aa3bc7a2","ap_endo-acb6750e-f5f9-4671-996f-a198aa3bc7a2","Monocytes – Quantitative & Qualitative Aspects","Endocrine","taxonomy-review endocrine remainder row","high taxonomy risk; this row is currently mapped to endocrine but its title/path may indicate skin, hematology, fluid, immune, infectious, or systemic content","PGY1-PGY2","The Endocrine System > The Skin and Nails > Non-Neoplastic Disorders of Leucocytes > Monocytes – Quantitative & Qualitative Aspects","12061","endocrine or endocrine-adjacent specimen only after faculty taxonomy QA confirms the row belongs here; otherwise document the correct AP domain and remove from endocrine learner view","faculty-selected normal endocrine comparator, or a taxonomy-correction note explaining why an endocrine comparator is inappropriate","taxonomy QA image plan: attach endocrine normal-to-abnormal anchor only after confirmed placement, or document no-image/reassignment rationale","faculty must identify the closest endocrine mimic, systemic mimic, or correct-domain reassignment before content authoring","do not add learner-facing reporting language until taxonomy QA determines whether this is endocrine, endocrine-adjacent, or misclassified AP-spec content","","","","","","","","","","","","","","","","draft","ready-for-review","Unused ap_endo P0 row at source line 12061; high taxonomy risk; this row is currently mapped to endocrine but its title/path may indicate skin, hematology, fluid, immune, infectious, or systemic content","missing","Needs source-backed definition/scope, normal comparator or taxonomy correction, morphology, mimic discriminator, pitfall, and learner-safe consequence.","missing","taxonomy QA image plan: attach endocrine normal-to-abnormal anchor only after confirmed placement, or document no-image/reassignment rationale","missing","Remainder-batch retrieval prompts are scaffolded; faculty-reviewed answers and spaced-repeat reveal text are not yet attached.","missing","Endocrine faculty/taxonomy reviewer, source citation, image/license or reassignment status, editorial decision, and review date are not yet attached."
"p0-endo-batch-2-card-05-0b7ce8a1-90dc-4a87-8f98-cf14a51e7f50","ap_endo-0b7ce8a1-90dc-4a87-8f98-cf14a51e7f50","Leucocyte Infections","Endocrine","taxonomy-review endocrine remainder row","high taxonomy risk; this row is currently mapped to endocrine but its title/path may indicate skin, hematology, fluid, immune, infectious, or systemic content","PGY1-PGY2","The Endocrine System > The Skin and Nails > Infections with Manifestation in the Peripheral Blood > Leucocyte Infections","12103","endocrine or endocrine-adjacent specimen only after faculty taxonomy QA confirms the row belongs here; otherwise document the correct AP domain and remove from endocrine learner view","faculty-selected normal endocrine comparator, or a taxonomy-correction note explaining why an endocrine comparator is inappropriate","taxonomy QA image plan: attach endocrine normal-to-abnormal anchor only after confirmed placement, or document no-image/reassignment rationale","faculty must identify the closest endocrine mimic, systemic mimic, or correct-domain reassignment before content authoring","do not add learner-facing reporting language until taxonomy QA determines whether this is endocrine, endocrine-adjacent, or misclassified AP-spec content","","","","","","","","","","","","","","","","draft","ready-for-review","Unused ap_endo P0 row at source line 12103; high taxonomy risk; this row is currently mapped to endocrine but its title/path may indicate skin, hematology, fluid, immune, infectious, or systemic content","missing","Needs source-backed definition/scope, normal comparator or taxonomy correction, morphology, mimic discriminator, pitfall, and learner-safe consequence.","missing","taxonomy QA image plan: attach endocrine normal-to-abnormal anchor only after confirmed placement, or document no-image/reassignment rationale","missing","Remainder-batch retrieval prompts are scaffolded; faculty-reviewed answers and spaced-repeat reveal text are not yet attached.","missing","Endocrine faculty/taxonomy reviewer, source citation, image/license or reassignment status, editorial decision, and review date are not yet attached."
"p0-endo-batch-2-card-06-7fd770b3-f648-473c-b68b-a12a1ffd69ab","ap_endo-7fd770b3-f648-473c-b68b-a12a1ffd69ab","Fluid Specimens","Endocrine","taxonomy-review endocrine remainder row","high taxonomy risk; this row is currently mapped to endocrine but its title/path may indicate skin, hematology, fluid, immune, infectious, or systemic content","PGY1-PGY2","The Endocrine System > The Skin and Nails > Fluid Specimens","12240","endocrine or endocrine-adjacent specimen only after faculty taxonomy QA confirms the row belongs here; otherwise document the correct AP domain and remove from endocrine learner view","faculty-selected normal endocrine comparator, or a taxonomy-correction note explaining why an endocrine comparator is inappropriate","taxonomy QA image plan: attach endocrine normal-to-abnormal anchor only after confirmed placement, or document no-image/reassignment rationale","faculty must identify the closest endocrine mimic, systemic mimic, or correct-domain reassignment before content authoring","do not add learner-facing reporting language until taxonomy QA determines whether this is endocrine, endocrine-adjacent, or misclassified AP-spec content","","","","","","","","","","","","","","","","draft","ready-for-review","Unused ap_endo P0 row at source line 12240; high taxonomy risk; this row is currently mapped to endocrine but its title/path may indicate skin, hematology, fluid, immune, infectious, or systemic content","missing","Needs source-backed definition/scope, normal comparator or taxonomy correction, morphology, mimic discriminator, pitfall, and learner-safe consequence.","missing","taxonomy QA image plan: attach endocrine normal-to-abnormal anchor only after confirmed placement, or document no-image/reassignment rationale","missing","Remainder-batch retrieval prompts are scaffolded; faculty-reviewed answers and spaced-repeat reveal text are not yet attached.","missing","Endocrine faculty/taxonomy reviewer, source citation, image/license or reassignment status, editorial decision, and review date are not yet attached."
"p0-endo-batch-2-card-07-df71d1a1-6098-4098-8dda-f119adc37f95","ap_endo-df71d1a1-6098-4098-8dda-f119adc37f95","CSF","Endocrine","taxonomy-review endocrine remainder row","high taxonomy risk; this row is currently mapped to endocrine but its title/path may indicate skin, hematology, fluid, immune, infectious, or systemic content","PGY1-PGY2","The Endocrine System > The Skin and Nails > Fluid Specimens > CSF","12241","endocrine or endocrine-adjacent specimen only after faculty taxonomy QA confirms the row belongs here; otherwise document the correct AP domain and remove from endocrine learner view","faculty-selected normal endocrine comparator, or a taxonomy-correction note explaining why an endocrine comparator is inappropriate","taxonomy QA image plan: attach endocrine normal-to-abnormal anchor only after confirmed placement, or document no-image/reassignment rationale","faculty must identify the closest endocrine mimic, systemic mimic, or correct-domain reassignment before content authoring","do not add learner-facing reporting language until taxonomy QA determines whether this is endocrine, endocrine-adjacent, or misclassified AP-spec content","","","","","","","","","","","","","","","","draft","ready-for-review","Unused ap_endo P0 row at source line 12241; high taxonomy risk; this row is currently mapped to endocrine but its title/path may indicate skin, hematology, fluid, immune, infectious, or systemic content","missing","Needs source-backed definition/scope, normal comparator or taxonomy correction, morphology, mimic discriminator, pitfall, and learner-safe consequence.","missing","taxonomy QA image plan: attach endocrine normal-to-abnormal anchor only after confirmed placement, or document no-image/reassignment rationale","missing","Remainder-batch retrieval prompts are scaffolded; faculty-reviewed answers and spaced-repeat reveal text are not yet attached.","missing","Endocrine faculty/taxonomy reviewer, source citation, image/license or reassignment status, editorial decision, and review date are not yet attached."
"p0-endo-batch-2-card-08-df7e7e54-569a-424c-9341-d0135dcd8d31","ap_endo-df7e7e54-569a-424c-9341-d0135dcd8d31","Immune","Endocrine","taxonomy-review endocrine remainder row","high taxonomy risk; this row is currently mapped to endocrine but its title/path may indicate skin, hematology, fluid, immune, infectious, or systemic content","PGY1-PGY2","The Endocrine System > The Skin and Nails > Immune","12335","endocrine or endocrine-adjacent specimen only after faculty taxonomy QA confirms the row belongs here; otherwise document the correct AP domain and remove from endocrine learner view","faculty-selected normal endocrine comparator, or a taxonomy-correction note explaining why an endocrine comparator is inappropriate","taxonomy QA image plan: attach endocrine normal-to-abnormal anchor only after confirmed placement, or document no-image/reassignment rationale","faculty must identify the closest endocrine mimic, systemic mimic, or correct-domain reassignment before content authoring","do not add learner-facing reporting language until taxonomy QA determines whether this is endocrine, endocrine-adjacent, or misclassified AP-spec content","","","","","","","","","","","","","","","","draft","ready-for-review","Unused ap_endo P0 row at source line 12335; high taxonomy risk; this row is currently mapped to endocrine but its title/path may indicate skin, hematology, fluid, immune, infectious, or systemic content","missing","Needs source-backed definition/scope, normal comparator or taxonomy correction, morphology, mimic discriminator, pitfall, and learner-safe consequence.","missing","taxonomy QA image plan: attach endocrine normal-to-abnormal anchor only after confirmed placement, or document no-image/reassignment rationale","missing","Remainder-batch retrieval prompts are scaffolded; faculty-reviewed answers and spaced-repeat reveal text are not yet attached.","missing","Endocrine faculty/taxonomy reviewer, source citation, image/license or reassignment status, editorial decision, and review date are not yet attached."
"p0-endo-batch-2-card-09-b2f370e8-9df4-44f1-885e-00dd2e6255db","ap_endo-b2f370e8-9df4-44f1-885e-00dd2e6255db","Inherited","Endocrine","taxonomy-review endocrine remainder row","high taxonomy risk; this row is currently mapped to endocrine but its title/path may indicate skin, hematology, fluid, immune, infectious, or systemic content","PGY1-PGY2","The Endocrine System > The Skin and Nails > Inherited","12336","endocrine or endocrine-adjacent specimen only after faculty taxonomy QA confirms the row belongs here; otherwise document the correct AP domain and remove from endocrine learner view","faculty-selected normal endocrine comparator, or a taxonomy-correction note explaining why an endocrine comparator is inappropriate","taxonomy QA image plan: attach endocrine normal-to-abnormal anchor only after confirmed placement, or document no-image/reassignment rationale","faculty must identify the closest endocrine mimic, systemic mimic, or correct-domain reassignment before content authoring","do not add learner-facing reporting language until taxonomy QA determines whether this is endocrine, endocrine-adjacent, or misclassified AP-spec content","","","","","","","","","","","","","","","","draft","ready-for-review","Unused ap_endo P0 row at source line 12336; high taxonomy risk; this row is currently mapped to endocrine but its title/path may indicate skin, hematology, fluid, immune, infectious, or systemic content","missing","Needs source-backed definition/scope, normal comparator or taxonomy correction, morphology, mimic discriminator, pitfall, and learner-safe consequence.","missing","taxonomy QA image plan: attach endocrine normal-to-abnormal anchor only after confirmed placement, or document no-image/reassignment rationale","missing","Remainder-batch retrieval prompts are scaffolded; faculty-reviewed answers and spaced-repeat reveal text are not yet attached.","missing","Endocrine faculty/taxonomy reviewer, source citation, image/license or reassignment status, editorial decision, and review date are not yet attached."
"p0-endo-batch-2-card-10-2126e936-be8a-4ecc-ac76-1fb85199e2da","ap_endo-2126e936-be8a-4ecc-ac76-1fb85199e2da","Other Causes of Thrombocytopenia","Endocrine","taxonomy-review endocrine remainder row","high taxonomy risk; this row is currently mapped to endocrine but its title/path may indicate skin, hematology, fluid, immune, infectious, or systemic content","PGY1-PGY2","The Endocrine System > The Skin and Nails > Other Causes of Thrombocytopenia","12337","endocrine or endocrine-adjacent specimen only after faculty taxonomy QA confirms the row belongs here; otherwise document the correct AP domain and remove from endocrine learner view","faculty-selected normal endocrine comparator, or a taxonomy-correction note explaining why an endocrine comparator is inappropriate","taxonomy QA image plan: attach endocrine normal-to-abnormal anchor only after confirmed placement, or document no-image/reassignment rationale","faculty must identify the closest endocrine mimic, systemic mimic, or correct-domain reassignment before content authoring","do not add learner-facing reporting language until taxonomy QA determines whether this is endocrine, endocrine-adjacent, or misclassified AP-spec content","","","","","","","","","","","","","","","","draft","ready-for-review","Unused ap_endo P0 row at source line 12337; high taxonomy risk; this row is currently mapped to endocrine but its title/path may indicate skin, hematology, fluid, immune, infectious, or systemic content","missing","Needs source-backed definition/scope, normal comparator or taxonomy correction, morphology, mimic discriminator, pitfall, and learner-safe consequence.","missing","taxonomy QA image plan: attach endocrine normal-to-abnormal anchor only after confirmed placement, or document no-image/reassignment rationale","missing","Remainder-batch retrieval prompts are scaffolded; faculty-reviewed answers and spaced-repeat reveal text are not yet attached.","missing","Endocrine faculty/taxonomy reviewer, source citation, image/license or reassignment status, editorial decision, and review date are not yet attached."
