"lectureId","title","contentArea","apCategories","expectedLevel","abpathAnchors","scopeBoundary","promotionGate"
"renal_mass_eval","Renal Mass Evaluation","Genitourinary: kidney/renal pathology evaluation","ap_gu: kidney","mixed C/AR","Tissue processing of renal biopsies (C); End Stage Renal Disease (C); Monoclonal gammopathy associated renal disease (AR); Renal transplantation, donor assessment (AR); Diseases associated with acellular closure of glomerular capillaries (C); Non-proliferative glomerulonephropathies (C); Pyelonephritis (C); Tubulointerstitial Disease (C); Vascular lesions (C); Acute diffuse intracapillary proliferative glomerulonephritis (AR)","Kidney/renal pathology and renal specimen handling only; bladder topics may support urothelial differential context but must not become the main lecture.","Promote only when all six top tabs render, the content-area boundary is explicit, ABPath anchors are visible, and learner assessment ties back to report-level consequence."
"testicular_mass_eval","Testicular Mass Evaluation","Genitourinary: testis and paratesticular masses","ap_male_repro: testis/paratestis","mixed C/AR","Intratubular germ cell neoplasia (C); Seminoma (C); Spermatocytic seminoma (C); Teratoma (C); Spermatic cord/paratesticular tumors (AR); Embryonal carcinoma (AR); Mixed germ cell tumor (AR); Other germ cell tumors (AR); Yolk sac tumor (AR); Cryptorchidism (C)","Testis and paratesticular mass evaluation only; prostate and penile topics are out of scope unless used as brief contrast.","Promote only when all six top tabs render, the content-area boundary is explicit, ABPath anchors are visible, and learner assessment ties back to report-level consequence."
"bladder_path_core_principles","Bladder Pathology: Core Principles","Genitourinary: bladder and urothelial tract","ap_gu: urothelial tract/bladder","mixed C/AR","BCG effects (C); Nephrogenic metaplasia (C); Radiation Changes (AR); Diverticula (C); Other Congenital, Developmental, and Familial Conditions (C); Urethral polyp (C); Normal Anatomy and Histology (C); The Urothelial Tract and Bladder (C); Cystitis glandularis (AR); Physiologic Changes, Metabolic Conditions & Trauma/Infarct (AR)","Bladder biopsy/TURBT/cystectomy logic only; renal, prostate, testis, and penile content are out of scope unless used as mimics.","Promote only when all six top tabs render, the content-area boundary is explicit, ABPath anchors are visible, and learner assessment ties back to report-level consequence."
"penile_who_complete_pathology","Penile Pathology: WHO-Complete Sign-Out Lecture","Genitourinary: penis","ap_male_repro: penis","mixed C/AR","Penile intraepithelial neoplasia (C); Squamous cell carcinoma (C); Paget Disease (AR); Bowenoid papulosis (C); Lichen schlerosis (C); Penis (C)","Penile precursor, invasive, HPV-related, margin, and mimic logic only.","Promote only when all six top tabs render, the content-area boundary is explicit, ABPath anchors are visible, and learner assessment ties back to report-level consequence."
"testicular_who_complete_pathology","Testicular and Paratesticular Pathology","Genitourinary: testis/paratestis WHO classification","ap_male_repro: testis/paratestis","mixed C/AR","Seminoma (C); Spermatocytic seminoma (C); Teratoma (C); Embryonal carcinoma (AR); Mixed germ cell tumor (AR); Yolk sac tumor (AR); Cryptorchidism (C); Duct obstruction, vasitis nodosum (C); Epidermoid cyst and dermoid cyst (C); Intratubular germ cell neoplasia (C)","Testicular, paratesticular, rete, epididymal, germ-cell, sex-cord stromal, lymphoma, and metastatic patterns only.","Promote only when all six top tabs render, the content-area boundary is explicit, ABPath anchors are visible, and learner assessment ties back to report-level consequence."
"ioc-overview-breast-surgery","Breast Pathology: Core Principles","Breast surgical pathology","ap_breast","mixed C/AR","Ductal carcinoma in situ (DCIS) (C); Invasive ductal carcinoma, NOS (C); Invasive lobular carcinoma (C); Lobular carcinoma in situ (LCIS) (C); Radial Scar (C); Invasive micropapillary carcinoma (AR); Sentinel Node Sampling (AR); Adenosis (C); Apocrine Metaplasia (C); Cysts (C)","Breast specimen orientation, benign/proliferative lesions, carcinoma, margins, and sentinel lymph node workflow only.","Promote only when all six top tabs render, the content-area boundary is explicit, ABPath anchors are visible, and learner assessment ties back to report-level consequence."
"ioc-overview-endocrine-surgery","Thyroid Pathology: Core Principles","Endocrine: thyroid","ap_endo: thyroid","mixed C/AR","Medullary carcinoma (AR); Follicular carcinoma (C); Papillary carcinoma (C); Anaplastic carcinoma (AR); Follicular adenoma (AR); Graves Disease (AR); Other malignancies involving the thyroid (C); Infections (C); Infectious (C); Oncocytic neoplasms (C)","Thyroid-focused endocrine pathology only; pituitary, adrenal, and non-thyroid endocrine topics are out of scope.","Promote only when all six top tabs render, the content-area boundary is explicit, ABPath anchors are visible, and learner assessment ties back to report-level consequence."
"ioc-overview-gynecologic-oncology","Gynecologic Pathology: Core Principles","Gynecologic surgical pathology","ap_cyto/ap_male_repro normalized source: gynecologic path-context filtered","C","Adenocarcinoma in situ (C); Clear cell carcinoma (C); Adenosis (C); Endometriosis (C); Mesonephric rests and hyperplasia (C); Microglandular hyperplasia (C); Polyps (C); Squamous cell carcinoma (C); Squamous intraepithelial lesions (C); Stromal polyp (C)","Gynecologic tract and gynecologic oncology logic only; male reproductive topics are out of scope even if source categories overlap.","Promote only when all six top tabs render, the content-area boundary is explicit, ABPath anchors are visible, and learner assessment ties back to report-level consequence."
"ioc-overview-head-neck-surgery","Head & Neck Pathology: Core Principles","Head and neck pathology","ap_hn","mixed C/AR","Infections of the Jaws & Oral Cavity (C); Pyogenic granuloma (C); Jaws, Oral Cavity, and Oropharynx (C); Lichen planus (AR); Peripheral giant cell granuloma (AR); Sinonasal undifferentiated carcinoma (AR); Schneiderian papilloma (C); Angiofibroma (C); Contact ulcer (C); Cysts (C)","Upper aerodigestive tract, salivary, sinonasal, oral cavity, jaw, and neck lesion workflow only.","Promote only when all six top tabs render, the content-area boundary is explicit, ABPath anchors are visible, and learner assessment ties back to report-level consequence."
"ioc-overview-hepatobiliary-surgery","Liver/Biliary Pathology: Core Principles","Hepatobiliary pathology","ap_gi: hepatobiliary","mixed C/AR","Cirrhosis (C); Hepatocellular adenoma (AR); Hepatocellular carcinoma (AR); Macroregenerative nodules in cirrhosis (AR); Polycystic liver disease and congenital hepatic fibrosis (AR); Alcoholic liver disease (C); Amebic abscess (C); Cholecystitis and cholelithiasis (C); Echinococcosis (C); Focal nodular hyperplasia (C)","Liver, gallbladder, and biliary pathology only; pancreas is out of scope except periampullary contrast.","Promote only when all six top tabs render, the content-area boundary is explicit, ABPath anchors are visible, and learner assessment ties back to report-level consequence."
